person_id_random,birthday,gender,signup_date,fb_friend_count,current_home_years,current_home_months,living_situation,current_job_years,current_job_months,education,how_much_paid,how_often_paid,referral_source,outstanding_loan,use_mobile_wallet_how_often,relationship_status,is_employed
1817487983,1/19/85,M,5/20/14 23:30,707,5+,0,pay_rent,4,,,15000,monthly,facebook,no,daily,,
3967732927,9/9/87,M,5/20/14 23:35,2067,5+,0,pay_rent,,,,50000,monthly,,yes,daily,,
8521033508,4/18/88,M,5/21/14 2:42,277,4,0,pay_rent,,,,900,daily,,no,few_times_a_week,,
5799676461,5/6/83,M,5/21/14 22:01,3058,4,0,pay_rent,5+,,,50000,monthly,,yes,daily,,
2528750026,9/24/89,F,5/21/14 22:48,1340,3,0,pay_rent,,,,200,daily,,yes,few_times_a_week,,
5330295937,1/22/81,M,5/21/14 23:40,214,5+,11,pay_rent,3,6,,1000,,facebook,no,daily,,
4345724251,9/19/80,M,5/22/14 12:24,88,4,2,pay_rent,,10,,65850,monthly,,no,daily,,
3757970868,5/14/92,M,5/26/14 8:46,854,2,5,own_home,1,,,200,,,no,daily,,
2669649960,11/26/82,M,5/27/14 0:43,33,3,0,pay_rent,4,,,20000,weekly,,no,daily,,
3620626456,5/27/90,M,5/27/14 4:46,392,3,9,own_home,4,5,,2060,,,no,daily,,
5958664143,6/15/92,M,5/29/14 9:46,148,3,0,pay_rent,2,,,20000,monthly,,no,few_times_a_week,,
1661102022,2/21/84,F,5/30/14 1:49,128,4,2,pay_rent,3,0,,3500,daily,,no,daily,,
7777374938,8/10/65,M,6/6/14 23:50,49,5+,11,own_home,5+,0,,4000,weekly,,no,daily,,
5875230942,10/17/30,M,6/9/14 3:43,797,2,6,pay_rent,0,4,,800,daily,,no,few_times_a_week,,
5563120467,11/22/80,M,6/9/14 6:22,234,4,0,pay_rent,3,0,,1000,daily,,no,daily,,
6551180719,,M,6/10/14 2:06,739,2,2,own_home,3,2,,5500,weekly,,no,few_times_a_week,,
4552401360,1/18/89,M,6/10/14 22:22,463,1,5,pay_rent,2,0,,15000,monthly,,no,few_times_a_week,,
7177006216,4/23/95,F,6/11/14 13:16,2564,5+,6,pay_rent,5+,10,,26000,monthly,friend,no,daily,,
1978413484,8/17/86,F,6/12/14 2:10,161,5+,0,pay_rent,4,0,,3200,weekly,,no,few_times_a_week,,
7734209346,12/2/71,M,6/12/14 11:59,408,2,0,pay_rent,5+,0,,100000,payments received from my clients,facebook,yes,daily,,
3995102460,11/10/80,F,6/13/14 5:43,1020,2,0,pay_rent,5+,0,,30000,monthly,,yes,daily,,
8994467797,6/22/93,F,6/13/14 7:52,662,2,4,own_home,3,2,,1600,weekly,,no,daily,,
6386473095,7/25/84,F,6/14/14 3:33,559,3,0,pay_rent,5+,0,,300,daily,friend,no,few_times_a_week,,
1892163498,,M,6/15/14 8:26,3454,2,10,I stay with my brother,3,2,,9000,weekly,,no,daily,,
1183321030,5/22/87,F,6/15/14 13:23,437,2,0,pay_rent,2,0,,12000,monthly,,yes,few_times_a_week,,
5377931105,2/29/92,M,6/16/14 4:12,971,2,3,pay_rent,1,4,,5000,weekly,,yes,daily,,
2358807840,5/2/77,M,6/16/14 5:15,984,0,0,pay_rent,5+,0,,1,daily,facebook,no,daily,,
5868139297,1/19/90,M,6/19/14 8:51,1458,5+,0,own_home,5+,0,,12000,monthly,,no,few_times_a_week,,
1135111501,9/15/94,F,6/21/14 1:16,1060,1,0,pay_rent,1,0,,10000,daily,,yes,few_times_a_week,,
6100057929,8/21/77,F,6/21/14 10:27,164,4,0,pay_rent,0,0,,2000,daily,,no,daily,,
8685630915,7/17/94,F,6/25/14 0:19,217,0,0,istay with my parent,1,0,,1000,weekly,,no,few_times_a_week,,
2683538279,8/13/77,M,6/27/14 1:24,616,5+,0,pay_rent,5+,0,,450,daily,friend,yes,few_times_a_week,,
9236601044,11/28/95,M,6/30/14 21:40,284,5+,4,pay_rent,2,1,,500,daily,,no,few_times_a_month,,
7444746096,7/3/94,M,7/1/14 5:43,230,1,2,pay_rent,0,11,,2500,weekly,,no,few_times_a_week,,
2668523412,4/4/94,M,7/4/14 7:37,1240,0,6,pay_rent,0,7,,2150,weekly,,no,few_times_a_week,,
6219345623,1/22/76,F,7/4/14 8:12,219,3,0,pay_rent,3,0,,20000,monthly,,yes,daily,,
4105742558,10/13/40,F,7/4/14 10:44,374,4,7,pay_rent,5+,0,,12000,monthly,,no,few_times_a_month,,
8397994357,12/5/94,F,7/7/14 7:06,174,0,3,pay_rent,0,6,,3500,weekly,,no,daily,,
7640935498,1/13/84,M,7/8/14 7:26,686,1,2,pay_rent,1,0,,30000,monthly,friend,yes,daily,,
7125219495,8/10/05,M,7/8/14 22:25,820,0,0,pay_rent,0,0,,15000,monthly,,no,few_times_a_week,,
3206224066,3/13/94,M,7/9/14 0:01,377,1,0,pay_rent,4,0,,9500,weekly,,no,few_times_a_week,,
8677322348,12/25/91,M,7/12/14 6:05,1045,3,7,pay_rent,2,6,,500,weekly,,no,few_times_a_week,,
1482204423,11/1/12,M,7/12/14 10:57,1432,2,0,pay_rent,1,6,,10000,monthly,,yes,daily,,
4530705086,12/14/92,M,7/13/14 7:17,423,0,4,pay_rent,0,4,,15000,monthly,,no,daily,,
5521864872,8/14/95,M,7/14/14 13:00,1615,1,0,pay_rent,1,0,,300,daily,,no,daily,,
9401390636,10/18/92,M,7/15/14 13:21,474,2,0,pay_rent,2,0,,300,daily,,yes,few_times_a_week,,
7780990687,10/22/63,M,7/15/14 13:38,294,0,0,pay_rent,0,0,,500,daily,,yes,few_times_a_week,,
7540101434,12/12/93,M,7/16/14 3:09,250,5+,3,pay_rent,4,2,,2800,weekly,,no,few_times_a_week,,
6526183719,3/7/32,M,7/16/14 4:28,,,,,,,,,,,,,,
4950043625,5/8/95,M,7/16/14 7:05,364,0,0,pay_rent,1,0,,1000,weekly,,no,few_times_a_week,,
1096962239,5/12/10,M,7/17/14 10:31,427,0,8,pay_rent,0,0,,1000,monthly,,yes,few_times_a_month,,
8128789355,5/26/10,M,7/17/14 23:57,355,4,7,pay_rent,3,2,,27000,monthly,,no,daily,,
1299427536,4/6/51,F,7/18/14 0:40,55,5+,0,own_home,3,0,,1000,daily,,no,few_times_a_week,,
2916523599,6/10/88,M,7/18/14 7:21,89,2,8,pay_rent,2,9,,15000,daily,,no,few_times_a_week,,
9453964086,1/11/93,F,7/19/14 1:31,525,2,0,pay_rent,2,0,,15000,monthly,,no,few_times_a_week,,
5482790346,1/7/95,M,7/19/14 3:03,435,1,7,pay_rent,1,10,,9400,weekly,,no,few_times_a_week,,
9504924784,5/1/96,F,7/20/14 3:58,486,1,7,own_home,1,3,,550,daily,,no,few_times_a_week,,
1512836830,7/4/14,F,7/22/14 0:26,489,5+,0,pay_rent,2,0,,29000,monthly,,yes,few_times_a_week,,
1612135424,5/26/86,M,7/22/14 1:01,810,3,6,pay_rent,4,6,,10000,monthly,facebook,no,few_times_a_week,,
3929235228,4/19/79,M,7/22/14 5:51,388,4,0,pay_rent,3,0,,34000,monthly,,no,few_times_a_week,,
8057731840,7/28/93,F,7/22/14 11:29,425,1,2,pay_rent,0,0,,700,weekly,,yes,few_times_a_week,,
4966440067,3/12/92,F,7/24/14 8:37,247,2,9,pay_rent,1,0,,2000,weekly,,no,few_times_a_week,,
5108315568,4/29/87,M,7/24/14 22:08,324,1,0,pay_rent,0,0,,28000,monthly,,yes,few_times_a_week,,
2673538543,8/12/86,M,7/25/14 0:08,600,3,0,pay_rent,1,0,,44000,monthly,facebook,no,few_times_a_week,,
7777626093,11/28/10,M,7/27/14 4:30,605,2,0,pay_rent,1,0,,30000,monthly,,no,few_times_a_week,,
3764746080,8/13/20,F,7/28/14 10:26,478,2,0,pay_rent,1,0,,1500,weekly,,no,few_times_a_week,,
2524200246,6/14/89,F,7/29/14 7:02,339,0,5,i do shopping for my home,0,0,,4500,monthly,,yes,few_times_a_week,,
7717500506,4/22/86,F,7/30/14 5:41,482,4,2,pay_rent,4,9,,17500,monthly,,yes,few_times_a_week,,
4042481303,9/23/95,F,7/31/14 5:06,614,5+,0,pay_rent,5+,0,,7500,monthly,,no,few_times_a_month,,
6295166250,4/16/91,M,8/1/14 4:44,1361,4,0,own_home,2,0,,7000,monthly,,no,few_times_a_month,,
8362192538,5/9/93,M,8/1/14 12:37,109,2,0,pay_rent,0,5,,13000,monthly,,no,few_times_a_week,,
2381042959,7/20/82,M,8/2/14 5:21,271,5+,0,pay_rent,4,0,,100000,monthly,google_play_store,yes,few_times_a_week,,
4421733789,7/7/92,F,8/2/14 9:00,1761,2,1,pay_rent,1,11,,40000,monthly,,no,daily,,
4943128258,10/24/92,M,8/3/14 11:05,965,1,2,pay_rent,0,6,,2500,monthly,,no,few_times_a_week,,
4088430688,8/23/92,M,8/3/14 23:44,145,3,6,pay_rent,0,0,,2500,daily,,no,daily,,
8806418646,12/26/96,M,8/4/14 10:18,564,1,0,own_home,0,3,,8000,monthly,,no,few_times_a_month,,
9725100582,1/7/96,M,8/5/14 23:09,120,5+,0,own_home,5+,0,,45000,monthly,,no,few_times_a_week,,
7801042321,1/3/76,M,8/6/14 2:14,296,0,0,own_home,5+,0,,50000,monthly,,no,daily,,
6297081953,10/29/93,M,8/7/14 5:09,1269,3,0,pay_rent,1,0,,18000,monthly,,yes,few_times_a_week,,
2063379792,8/26/93,M,8/7/14 5:50,478,0,0,stay with parents,0,0,,8000,monthly,friend,no,few_times_a_month,,
6133370972,12/6/89,F,8/8/14 7:34,2111,3,8,pay_rent,1,3,,23000,monthly,,no,few_times_a_week,,
8763192932,6/22/94,M,8/10/14 3:30,1088,3,0,pay_rent,0,4,,5000,weekly,,no,few_times_a_week,,
2662659101,9/9/94,M,8/10/14 11:56,507,2,3,pay_rent,0,0,,700,daily,,yes,few_times_a_week,,
1537018341,4/21/91,M,8/10/14 13:27,2960,2,4,pay_rent,0,0,,12000,monthly,,yes,few_times_a_week,,
1957977001,10/26/95,M,8/11/14 3:38,625,3,0,pay_rent,1,0,,1000,daily,,no,few_times_a_week,,
8719891162,5/10/92,M,8/11/14 7:10,250,2,4,own_home,2,7,,4500,weekly,,no,few_times_a_week,,
3577835738,5/15/10,F,8/12/14 10:02,400,2,0,pay_rent,3,0,,20000,monthly,,no,few_times_a_week,,
8425972319,11/21/91,M,8/13/14 0:14,4800,0,8,pay_rent,0,8,,1000,daily,,no,daily,,
4002742728,9/25/87,F,8/13/14 5:00,1866,0,7,own_home,1,0,,15000,monthly,friend,yes,few_times_a_month,,
5825472282,5/3/86,M,8/13/14 6:49,345,4,0,pay_rent,1,0,,500,daily,,no,few_times_a_week,,
9504846186,11/28/88,M,8/13/14 21:25,405,2,7,pay_rent,2,4,,15000,monthly,,no,few_times_a_week,,
3225694348,3/5/87,M,8/13/14 22:52,145,3,7,own_home,2,4,,1000,daily,,no,daily,,
1177471131,11/3/94,M,8/13/14 23:57,186,3,5,pay_rent,2,6,,12000,monthly,,no,daily,,
8406400743,10/28/90,M,8/14/14 3:05,813,0,0,i stay in my fathers built home,0,7,,2000,daily,,no,daily,,
7234829584,6/15/90,M,8/14/14 6:06,304,3,6,pay_rent,3,2,,600,daily,,no,few_times_a_week,,
7284641061,2/16/95,M,8/15/14 1:37,705,1,5,pay_rent,0,7,,800,daily,friend,no,daily,,
6897561002,3/11/97,M,8/15/14 7:28,416,2,5,pay_rent,3,4,,500,daily,,no,few_times_a_week,,
1090396622,7/24/05,M,8/15/14 13:15,832,4,0,pay_rent,0,0,,5000,monthly,,yes,few_times_a_month,,
1516706338,5/10/89,F,8/16/14 4:07,855,4,7,pay_rent,1,1,,6000,weekly,,no,few_times_a_week,,
2830334836,2/11/72,M,8/17/14 5:49,2682,3,0,own_home,3,3,,15000,weekly,family,yes,few_times_a_week,,
1316512614,9/25/95,M,8/19/14 5:05,790,1,5,pay_rent,1,5,,750,weekly,,no,few_times_a_week,,
9046729670,11/1/93,M,8/20/14 5:27,275,1,3,pay_rent,1,1,,1200,weekly,,no,few_times_a_week,,
9193097824,12/11/96,M,8/20/14 23:13,327,2,0,pay_rent,2,0,,30000,monthly,,no,few_times_a_week,,
9513977406,11/13/86,M,8/22/14 3:38,217,5+,6,Housed by employer,5+,8,,38796,monthly,,yes,few_times_a_week,,
8296490133,5/16/94,M,8/22/14 5:17,352,4,3,pay_rent,3,0,,16000,monthly,,no,few_times_a_week,,
3624329372,8/1/93,M,8/22/14 8:46,436,2,4,pay_rent,2,1,,4500,weekly,,no,few_times_a_week,,
7537202594,7/12/84,M,8/22/14 9:48,292,0,0,pay_rent,3,6,,30000,monthly,,no,few_times_a_week,,
3565083094,1/26/37,M,8/22/14 22:46,624,2,8,own_home,2,4,,32600,monthly,,no,few_times_a_week,,
3294533408,12/13/84,M,8/22/14 23:22,418,1,8,provided for.,3,8,,1100,daily,google_play_store,yes,daily,,
1983538252,4/28/78,F,8/24/14 0:06,2774,5+,0,pay_rent,5+,0,,1500,daily,family,yes,daily,,
6130454619,5/22/86,F,8/24/14 4:05,353,1,0,pay_rent,0,0,,20000,monthly,friend,yes,daily,,
8948452846,6/18/92,F,8/24/14 11:18,736,2,0,pay_rent,0,0,,10000,monthly,friend,yes,few_times_a_week,,
5534019509,10/16/73,M,8/24/14 13:25,422,5+,0,pay_rent,5+,0,,40000,monthly,google_play_store,no,few_times_a_week,,
8470817553,10/28/89,F,8/25/14 11:21,796,0,0,pay_rent,2,4,,14000,monthly,google_play_store,no,few_times_a_week,,
5638293141,12/18/88,M,8/26/14 3:49,100,2,3,pay_rent,3,6,,650,daily,,no,few_times_a_week,,
3219677874,5/4/95,M,8/26/14 7:19,27,3,3,pay_rent,3,3,,650,daily,,no,few_times_a_week,,
3584380224,3/21/91,F,8/27/14 3:19,465,0,0,pay_rent,1,3,,15000,weekly,,no,few_times_a_week,,
6845264174,5/7/94,M,8/28/14 12:43,71,3,5,pay_rent,4,7,,600,daily,,no,few_times_a_week,,
4146622581,1/24/93,M,8/29/14 2:46,867,0,0,pay_rent,0,0,,6000,monthly,,no,few_times_a_week,,
6461406501,12/3/90,M,8/30/14 10:27,1048,1,0,pay_rent,1,0,,650,daily,,yes,daily,,
7585759305,7/27/93,F,9/6/14 7:18,423,5+,0,pay_rent,2,3,,15000,monthly,,yes,few_times_a_week,,
9553513134,10/27/92,M,9/14/14 8:00,291,1,2,pay_rent,2,2,,9200,weekly,,no,few_times_a_week,,
1782793085,11/20/87,F,9/18/14 6:59,1631,3,0,pay_rent,4,0,,8000,monthly,facebook,yes,daily,,
2515000128,11/29/86,F,9/18/14 22:33,270,3,5,own_home,1,0,,17000,monthly,,yes,few_times_a_week,,
7152353641,9/14/80,M,9/19/14 8:07,239,5+,0,pay_rent,5+,0,,35,daily,,yes,daily,,
5095473176,7/6/79,M,9/19/14 23:41,779,5+,0,pay_rent,5+,0,college,90000,monthly,google_play_store,yes,daily,married,yes
6620932848,7/8/95,M,9/20/14 1:11,321,2,1,pay_rent,1,2,,19000,monthly,,no,few_times_a_week,,
1775406254,11/27/92,F,9/21/14 21:30,179,5+,5,pay_rent,2,3,,2000,weekly,,no,few_times_a_week,,
5359782636,4/5/92,F,9/22/14 9:07,423,1,2,pay_rent,,,college,6000,monthly,friend,no,few_times_a_month,single,no
2151054057,5/16/88,M,9/22/14 9:30,1370,0,10,pay_rent,1,10,,10000,monthly,,no,few_times_a_week,,
5777469792,5/25/87,F,9/22/14 11:15,907,2,0,own_home,2,2,,500,daily,,no,few_times_a_week,,
3110924673,6/9/81,M,9/22/14 12:14,254,3,4,own_home,5+,10,,35000,monthly,,no,few_times_a_week,,
7664147584,7/13/84,M,9/22/14 15:17,162,2,11,pay_rent,4,0,,15000,monthly,facebook,no,few_times_a_week,,
6268509017,7/11/92,M,9/22/14 22:01,184,2,0,pay_rent,3,0,,22000,monthly,,yes,few_times_a_week,,
8141294915,5/25/93,F,9/24/14 1:24,4279,0,6,pay_rent,0,7,,25000,monthly,,no,few_times_a_week,,
2278919539,9/28/90,F,9/24/14 10:32,2336,1,2,pay_rent,0,7,,23000,monthly,,yes,daily,,
1672596057,4/3/89,M,9/24/14 23:16,1442,3,9,pay_rent,3,9,,400,daily,,yes,few_times_a_week,,
3939663286,4/25/88,F,9/25/14 0:00,1842,3,0,pay_rent,1,0,,36000,monthly,other:am a client. my fon acted up and reloading the app,yes,few_times_a_week,,
3435646267,4/10/95,M,9/25/14 4:33,110,5+,0,my parents piece of land,2,0,,3000,monthly,friend,no,few_times_a_month,,
4167056538,10/15/10,M,9/25/14 9:07,960,4,2,own_home,2,5,,35000,monthly,,yes,daily,,
8165102081,8/28/94,F,9/25/14 13:38,501,2,3,pay_rent,2,2,,1500,weekly,,no,daily,,
9854161442,10/26/20,M,9/26/14 2:30,781,1,0,pay_rent,0,0,,500,weekly,,no,few_times_a_week,,
2552675755,7/21/82,F,9/26/14 2:39,143,5+,0,pay_rent,2,0,,15000,monthly,facebook,yes,few_times_a_week,,
5826558835,12/24/90,F,9/26/14 12:57,306,0,0,own_home,5+,0,,10000,monthly,,yes,few_times_a_week,,
8082067022,6/17/92,M,9/27/14 2:09,1118,5+,9,own_home,1,5,,30000,monthly,google_play_store,no,daily,,
8092607634,11/27/88,M,9/29/14 21:53,1841,3,5,pay_rent,2,1,,500,daily,facebook,yes,few_times_a_week,,
1280507511,4/18/86,M,9/30/14 9:03,328,3,2,pay_rent,2,8,,4500,weekly,,no,few_times_a_week,,
7378814827,4/22/81,F,9/30/14 14:34,323,0,0,pay_rent,0,0,,3000,weekly,facebook,yes,daily,,
5309412184,12/15/84,M,10/1/14 5:12,4879,5+,0,own_home,5+,0,,20000,daily,,no,few_times_a_week,,
1459514671,6/28/92,M,10/1/14 6:43,591,0,0,pay_rent,0,0,,5000,monthly,,yes,few_times_a_week,,
5085179989,9/18/85,M,10/1/14 8:40,288,5+,0,pay_rent,5+,0,,1800,daily,friend,yes,few_times_a_week,,
8845067238,1/7/86,M,10/1/14 12:40,160,1,0,own_home,2,0,,20000,monthly,facebook,yes,few_times_a_week,,
8392403933,4/25/87,M,10/2/14 1:26,647,3,2,pay_rent,3,4,,8500,monthly,facebook,no,few_times_a_week,,
8839970497,12/27/82,M,10/3/14 10:48,163,2,5,pay_rent,4,0,,600,daily,friend,yes,few_times_a_week,,
5916800459,7/16/85,F,10/4/14 6:36,332,3,0,pay_rent,2,1,,300,daily,,no,few_times_a_week,,
5255086303,6/9/84,M,10/4/14 21:00,27,2,0,pay_rent,2,0,,5000,weekly,facebook,yes,daily,,
2693128770,9/7/89,M,10/4/14 22:50,362,2,0,pay_rent,0,10,,21600,monthly,,no,few_times_a_week,,
8041467929,4/9/92,M,10/6/14 2:19,980,2,0,pay_rent,0,0,,1000,weekly,,yes,few_times_a_week,,
7549961913,12/16/43,M,10/6/14 9:21,1429,0,7,pay_rent,0,10,,800,daily,,no,few_times_a_week,,
7093035860,4/27/74,F,10/6/14 12:13,35,5+,0,pay_rent,5+,0,,800,daily,,no,daily,,
6456476162,6/13/89,F,10/7/14 22:11,437,2,0,pay_rent,3,0,,70000,monthly,,no,few_times_a_week,,
7318322753,11/13/05,M,10/8/14 1:05,719,5+,6,pay_rent,4,11,high_school,12000,monthly,friend,yes,few_times_a_week,long-term,yes
1654887836,5/2/85,F,10/13/14 6:20,441,2,0,pay_rent,5+,0,,2000,daily,,yes,few_times_a_week,,
8540590529,2/26/92,M,10/13/14 11:26,76,5+,6,pay_rent,0,0,,1000,weekly,friend,no,daily,,
5120292396,4/22/95,M,10/14/14 8:42,209,0,0,pay_rent,0,0,,2000,monthly,,no,few_times_a_week,,
5647000446,3/25/84,M,10/14/14 9:58,571,2,0,pay_rent,4,0,,800,daily,friend,yes,few_times_a_week,,
6525704875,3/27/80,F,10/15/14 23:26,198,0,8,pay_rent,2,0,,15000,monthly,,no,few_times_a_month,,
7958178899,10/23/92,M,10/18/14 7:11,55,1,6,pay_rent,1,6,,1200,daily,,no,few_times_a_week,,
1868497628,11/19/10,M,10/20/14 5:22,405,3,0,own_home,0,0,,1500,weekly,,no,few_times_a_week,,
2612671805,1/2/94,M,10/20/14 23:13,1240,1,3,pay_rent,0,0,,2500,monthly,,yes,daily,,
9047422306,1/8/91,M,10/21/14 11:36,423,0,6,pay_rent,0,0,,2300,monthly,,no,few_times_a_week,,
8751507835,2/22/85,M,10/24/14 7:25,579,1,2,pay_rent,0,8,,1000,daily,friend,no,daily,,
8210123264,3/9/91,M,10/29/14 3:00,189,4,6,pay_rent,5+,3,high_school,500,daily,friend,no,few_times_a_week,married,yes
5248964653,3/17/93,M,10/30/14 1:31,2390,3,0,pay_rent,1,0,,12000,monthly,,no,daily,,
5810007060,1/11/95,M,10/30/14 2:43,284,2,3,pay_rent,2,2,,750,daily,,no,daily,,
1832279919,5/10/86,F,10/30/14 2:53,544,4,6,pay_rent,4,5,,30000,daily,,no,few_times_a_week,,
5476885599,6/27/95,M,10/31/14 7:55,3125,2,0,pay_rent,0,0,,400,daily,,no,daily,,
2876398156,6/11/90,M,11/3/14 2:34,855,1,4,pay_rent,1,10,,4600,weekly,,yes,few_times_a_week,,
4198273826,9/19/99,M,11/10/14 7:25,49,4,0,own_home,2,3,,14000,monthly,,no,daily,,
1180207250,11/23/92,M,11/10/14 22:41,1512,2,4,pay_rent,4,2,,2500,daily,,no,few_times_a_week,,
9477378963,2/18/94,M,11/13/14 0:55,980,5+,1,pay_rent,0,0,,1000,weekly,,no,few_times_a_week,,
5809370917,1/19/93,F,11/13/14 9:27,1746,2,8,pay_rent,1,0,college,26000,monthly,friend,no,few_times_a_week,long-term,yes
3480756825,12/14/10,M,11/14/14 5:14,1824,3,0,pay_rent,3,0,,15000,monthly,,no,few_times_a_week,,
7555552124,7/2/88,M,11/14/14 9:49,537,3,5,pay_rent,0,6,,16000,monthly,other:hi guys ,yes,few_times_a_week,,
9611014004,,M,11/19/14 22:10,63,5+,9,own_home,5+,0,,1000,daily,,no,daily,,
9200350130,,M,11/20/14 1:04,2363,2,3,pay_rent,3,1,,8000,weekly,,no,few_times_a_week,,
9516909367,,M,11/20/14 7:26,1676,1,0,pay_rent,0,0,,1100,daily,,yes,few_times_a_week,,
2609792976,1/28/91,F,11/24/14 7:16,782,3,2,pay_rent,2,5,,5600,weekly,,yes,few_times_a_month,,
9377789718,,M,11/25/14 23:43,302,0,0,own_home,0,0,,700,daily,,no,few_times_a_week,,
9821765598,11/26/87,M,11/27/14 19:04,2143,2,11,pay_rent,1,9,,17500,monthly,,no,daily,,
9229511691,,M,11/28/14 1:56,292,3,0,pay_rent,0,8,,700,daily,,no,few_times_a_week,,
4396948561,,M,12/1/14 23:51,511,3,9,pay_rent,1,2,,1200,daily,,no,few_times_a_week,,
7419788148,,M,12/3/14 1:10,1000,2,4,pay_rent,2,6,,25000,monthly,,no,daily,,
6149299222,,F,12/3/14 8:04,225,3,6,pay_rent,0,0,,10000,monthly,,no,few_times_a_week,,
3753586759,,M,12/4/14 1:25,469,5+,10,own_home,2,5,,4500,weekly,,no,daily,,
3278293306,,M,12/4/14 23:32,140,5+,0,own_home,1,8,,18000,monthly,,no,few_times_a_month,,
7258285849,4/23/90,M,12/5/14 10:57,413,1,0,own_home,4,0,,700,daily,,no,few_times_a_week,,
6754950264,5/18/81,F,12/8/14 5:24,70,0,0,pay_rent,2,4,,1200,daily,friend,yes,few_times_a_week,,
5815782196,,M,12/8/14 22:06,658,0,0,pay_rent,0,0,,10000,monthly,,no,few_times_a_month,,
5468470748,10/7/89,F,12/10/14 22:35,302,1,10,pay_rent,1,2,,1500,daily,,no,daily,,
3174864023,8/13/91,M,12/15/14 21:06,521,3,2,pay_rent,2,1,,1500,daily,,no,few_times_a_week,,
7930805770,11/12/94,M,12/16/14 10:03,866,4,2,own_home,2,1,,2200,weekly,,no,daily,,
5517270647,12/10/94,M,12/16/14 22:25,944,3,0,pay_rent,2,7,,800,daily,,no,daily,,
5833760454,12/5/84,F,12/18/14 2:27,160,5+,11,pay_rent,5+,11,college,1000,weekly,friend,yes,daily,married,yes
5781022158,10/29/93,M,12/18/14 21:32,545,3,4,own_home,2,0,,600,daily,,no,daily,,
9896789006,4/25/93,M,12/18/14 22:20,969,2,4,pay_rent,2,0,,900,daily,,no,few_times_a_week,,
3401108129,1/2/91,M,12/19/14 0:19,,,,,,,,,,,,,,
1084690398,8/16/90,M,12/19/14 9:54,235,4,0,pay_rent,0,0,,9000,monthly,google_play_store,yes,daily,,
7386434289,6/3/93,F,12/21/14 21:48,279,3,8,pay_rent,2,6,,1200,weekly,,no,few_times_a_week,,
2990883566,11/5/85,F,12/28/14 23:08,445,4,5,pay_rent,5+,0,,60000,monthly,,no,few_times_a_week,,
3523225738,7/16/92,M,12/30/14 9:56,510,2,4,pay_rent,0,0,,12000,monthly,,yes,daily,,
3744930975,1/28/88,F,1/6/15 9:42,137,2,0,pay_rent,3,0,,2000,weekly,,yes,daily,,
